8280511,13.404,18 52 00.713,+44 17 03.23,283.00296,44.28422,5431,4.444,18520+4417,KOI1151,     ,2012,2014,309,307,0.8,0.8,11.9,14.1,K   ,0.073,13.883,13.367,12.198,12.151,0.516,0.685,2.139,1.685,0.026,0.883,25
10779233,13.328,18 52 27.307,+48 07 53.00,283.11375,48.13139,5564,4.276,18525+4808,KOI1989,     ,2013,2015,41,40,1.1,0.8,13.5,16.9,    ,0.084,13.811,13.285,12.18,12.134,0.526,0.691,2.039,1.631,0.02,0.908,206
7802719,14.374,18 52 29.050,+43 31 32.30,283.12104,43.52564,4362,4.608,18525+4332,KOI2247,     ,2013,2013,355,355,1.9,1.9,14.8,19.9,    ,0.042,15.346,14.306,12.682,12.662,1.04,1.388,3.331,2.664,0.07,0.824,391
10905173,13.071,18 52 50.544,+48 20 04.74,283.21067,48.33469,5034,4.453,18528+4820,DEA 369,     ,1998,2013,123,121,17.2,17.3,13.3,18,V   ,0.053,13.708,13.006,11.705,11.651,0.702,0.91,2.548,2.003,0.022,0.901,275
5768816,14.19,18 52 50.786,+41 02 17.02,283.21158,41.03806,5423,4.411,18528+4102,KOI3288,AB   ,2013,2013,75,75,3.2,3.2,14.4,18.7,    ,0.095,14.728,14.123,12.935,12.916,0.605,0.769,2.219,1.793,0.026,0.779,328
5768816,14.19,18 52 50.786,+41 02 17.02,283.21158,41.03806,5423,4.411,18528+4102,KOI3288,AC   ,2013,2013,80,80,3.5,3.5,14.4,19,    ,0.095,14.728,14.123,12.935,12.916,0.605,0.769,2.219,1.793,0.026,0.779,328
9002278,13.725,18 52 51.060,+45 20 59.50,283.21271,45.34986,4869,4.695,18529+4521,KOI 701,AB   ,2014,2014,303,303,2.1,2.1,11.7,20,K   ,0.047,14.417,13.654,12.256,12.221,0.763,0.988,2.758,2.161,0.019,0.89,214
9002278,13.725,18 52 51.060,+45 20 59.50,283.21271,45.34986,4869,4.695,18529+4521,KOI 701,AC   ,2014,2014,107,107,2.9,2.9,11.7,15.8,K   ,0.047,14.417,13.654,12.256,12.221,0.763,0.988,2.758,2.161,0.019,0.89,214
9002278,13.725,18 52 51.060,+45 20 59.50,283.21271,45.34986,4869,4.695,18529+4521,KOI 701,AD   ,2014,2014,359,359,3.5,3.5,11.7,17.5,K   ,0.047,14.417,13.654,12.256,12.221,0.763,0.988,2.758,2.161,0.019,0.89,214
9002278,13.725,18 52 51.060,+45 20 59.50,283.21271,45.34986,4869,4.695,18529+4521,KOI 701,AE   ,2014,2014,164,164,6.5,6.5,11.7,18.4,K   ,0.047,14.417,13.654,12.256,12.221,0.763,0.988,2.758,2.161,0.019,0.89,214
8800954,13.354,18 53 01.637,+45 05 16.01,283.25679,45.08778,5141,4.584,18530+4505,KOI1274,     ,2012,2014,241,243,1.1,1.1,13.1,16.9,R   ,0.055,13.928,13.314,12.009,12.011,0.614,0.821,2.393,1.919,0.017,0.93,89
